-41.344,17.135
-33.899,19.988
-38.429,9.1015
-45.26,3.4263
-32.252,8.0421
-25.704,8.3841
-27.203,-1.2608
-33.707,-2.8119
-23.134,24.681
-22.104,16.682
-16.455,14.592
-28.632,17.313
-19.349,7.3315
-12.841,6.4359
-13.313,-1.1669
-20.323,-0.97577
-16.622,29.049
-9.8402,31.362
-9.3548,25.763
-16.257,22.776
-9.4331,19.655
-2.9822,13.715
-6.3193,6.8381
-9.6084,13.408
-6.4011,-0.22897
0.41919,-0.22919
0.4926,-6.8751
-6.4755,-6.9524
-2.9796,32.11
-2.9813,26.485
3.8239,31.383
10.654,29.048
10.241,22.758
3.3727,25.737
-2.9821,20.455
3.4331,19.655
3.6059,13.381
0.32055,6.8842
6.8166,6.4311
13.35,7.3197
14.312,-0.99954
7.2711,-1.0997
17.18,24.656
22.607,17.323
16.104,16.682
10.393,14.586
19.698,8.4083
26.235,8.0359
27.764,-2.8125
21.161,-1.2617
27.97,20.004
35.214,17.298
39.198,3.423
32.375,9.0668
-40.235,-3.5951
-38.108,-14.927
-40.373,-23.092
-44.92,-10.546
-32.39,-12.297
-26.258,-10.025
-22.017,-17.792
-27.933,-20.926
-32.309,-33.317
-32.549,-25.151
-24.229,-32.899
-21.746,-40.606
-19.805,-8.6362
-13.161,-7.9334
-6.582,-13.226
-14.707,-15.797
-15.464,-23.419
-12.526,-31.875
-14.14,-37.873
-21.059,-27.6
-7.0267,-19.841
1.028,-19.868
1.1522,-26.381
-7.1763,-26.379
-3,-33.231
-3,-39.516
3.4873,-44.4
-9.5265,-44.407
7.1369,-7.9116
13.787,-8.5655
8.7286,-15.819
0.60457,-13.234
9.4638,-23.419
15.056,-27.557
8.1049,-37.867
6.4607,-31.877
20.251,-9.9736
26.362,-12.259
21.931,-20.896
16.009,-17.809
18.149,-32.914
26.503,-25.15
26.26,-33.345
15.717,-40.624
34.168,-3.6284
38.856,-10.573
34.336,-23.072
32.045,-14.94
